lakeid,trans,dist,setdate,coldate,daysout,trayweight,dw_tray,dw,fract_bgch,fract_smch,fract_simu,bgch,smch,simu,comments,comments.2
myv,kal,50,2008-05-27,2008-06-03,7,NA,NA,NA,1,1,1,2143.598873,3174.603175,1,,"There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
myv,kal,5,2008-05-27,2008-06-03,7,NA,NA,NA,1,1,1,520,10591.90031,0,~100 Tany/Chiron stuck on cheesecloth,"There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
myv,kal,150,2008-05-27,2008-06-03,7,NA,NA,NA,1,1,1,2106.512387,885.1307917,4,,"There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
myv,non,50,2008-05-27,2008-06-04,8,NA,NA,NA,1,1,1,2647.975078,17089.4526,0,,"There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
myv,btl,50,2008-05-29,2008-06-09,11,NA,NA,NA,1,1,1,946,401,1,picked sample off the ground,"There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
myv,btl,150,2008-05-29,2008-06-09,11,NA,NA,NA,1,1,1,489,73,0,"trapped tipped, logs of grass in sample, may have missed some Tanytarsus","There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
myv,btl,5,2008-05-29,2008-06-09,11,NA,NA,NA,1,1,1,343,6319.537161,6,,"There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
myv,hag,5,2008-05-30,2008-06-09,10,NA,NA,NA,1,1,1,648.2525366,11273.95716,0,,"There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
myv,hag,50,2008-05-30,2008-06-09,10,NA,NA,NA,1,1,1,851.8100965,5016.910936,0,,"There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
myv,hag,150,2008-05-30,2008-06-09,10,NA,NA,NA,1,1,1,241,174,0,,"There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
myv,hag,500,2008-05-30,2008-06-09,10,NA,NA,NA,1,1,1,48,55,0,,"There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
myv,skf,5,2008-05-31,2008-06-09,9,NA,NA,NA,1,1,1,37,1000.563698,0,"on ground, not much recovered","There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
myv,skf,50,2008-05-31,2008-06-09,9,NA,NA,NA,1,1,1,174,876.8633346,0,,"There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
myv,skf,500,2008-05-31,2008-06-09,9,NA,NA,NA,1,1,1,43,145,2,,"There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
myv,skf,150,2008-06-04,2008-06-09,5,NA,NA,NA,1,1,1,175,2458.834001,4,,"There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
myv,vin,5,2008-05-30,2008-06-09,10,NA,NA,NA,1,1,1,1842.456609,28482.42101,0,,"There are two entries for this date. One has the comment ""may have fallen (rubber band failure??)"" There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
myv,vin,5,2008-05-30,2008-06-09,10,NA,NA,NA,1,1,1,NA,NA,NA,may have fallen (rubber band failure)??,"There is a second entry for this date transect distance combination. The other has values entered. I changed the 0s to NAs for this reason, but have left the entry. There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
myv,vin,50,2008-05-30,2008-06-09,10,NA,NA,NA,1,1,1,2403.204272,13351.13485,0,,"There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
myv,vin,150,2008-05-30,2008-06-09,10,NA,NA,NA,1,1,1,464,3649.310191,0,,"There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
myv,kal,5,2008-06-03,2008-06-10,7,NA,NA,NA,1,1,1,120,2805.962671,38,,"There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
myv,kal,50,2008-06-03,2008-06-10,7,NA,NA,NA,1,1,1,90,1181.081226,4,,"There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
myv,kal,150,2008-06-03,2008-06-10,7,NA,NA,NA,1,1,1,54,811.7249154,2,,"There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
myv,non,5,2008-06-04,2008-06-10,6,NA,NA,NA,1,1,1,28,265,19,,"There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
myv,non,50,2008-06-04,2008-06-10,6,NA,NA,NA,1,1,1,45,309,23,,"There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
